event_id,issueID,reader_id,section,time_on_section,device,timestamp
EV009790,ISS-1039,R13787,deals,1.2 min,iPad,2024-09-25T01:52:00
EV001786,ISS-1007,R34432,New  Arrivals,00:00:51,Tablet,2024-02-14T19:19:00
EV006610,ISS1027,R69833,Deals ,3m 37s,iPad,2024-07-03T04:57:00
EV009960,ISS-1040,R30521,EDITORS PICKS,0.6 min,App,"Oct 02, 2024"
EV002854,ISS-1011,R47611,tech & gadgets,00:01:01,Web,2024-03-11T07:48:00
EV004377,ISS-1017,R22219,Editors Picks,0.6 min,web,2024-04-24T03:42:00
EV001557,ISS-1006,R42459,Editor's Picks,00:01:02,iPad,02/05/2024
EV009109,ISS1036,R31094,Deals of the Wek,00:02:36,Web,2024-09-02T18:09:00
EV012583,ISS-1051,R09976,deals of the week,89,TABLET,2024-12-17T15:59:00
EV006566,ISS-1026,R69956,SPONSORED SPOTLIGHT,00:00:54,Desktop,2024-06-24
EV007219,ISS-1029,R40039,NewArrivals,81,iPad,2024-07-17T02:25:00
EV013454,ISS-1054,R68855,Tech & Gadgets,111,TABLET,2025-01-06T08:48:00
EV016465,ISS-1065,R64925,deals of the week,24,tablet,2025-03-25T05:30:00
EV015049,ISS-1060,R40372,deals of the week,8,app,2025-02-20T00:05:00
EV007965,ISS-1032,R82544,new_arrivals,72,Android,2024-08-07T20:04:00
EV006125,ISS-1025,R60179,new_arrivals,0m 6s,mobile app,17-Jun-24
EV015670,ISS-1062,R48985,editor's picks,0m 59s,Tablet,2025-03-03
EV002003,ISS-1008,R30610,editor's picks,90,TABLET,19-Feb-24
EV006489,ISS-1026,R53419,tech & gadgets,0m 56s,Android App,2024-06-24T12:38:00
EV011658,ISS-1047,R63550,Tech / Gadgets,159,Android,2024-11-19T02:00:00
EV018078,ISS-1072,R85374,Tech / Gadgets,30,App,2025-05-13T22:05:00
EV006581,ISS-1027,R29060, Deals of the Week,137,iPhone,2024-07-03T18:27:00
EV018769,ISS-1075,R06903,Home  & Living,72,tablet,2025-06-03T07:18:00
EV014684,ISS-1059,R02740,Editors Picks,117,Web,None
EV016608,ISS-1066,R00199,Deals of the Week,162,Mobile,2025-04-01T16:51:00
EV016206,ISS-1064,R73943,Deals of the Wek,46,TABLET,03/18/2025
EV008349,ISS-1034,R79847,Deals ,00:02:13,PC,2024-08-20T16:21:00
EV015669,ISS-1062,R59625,new_arrivals,00:01:03,tablet,2025-03-05T14:39:00
EV018363,ISS-1073,R57044,Reader QandA,0m 54s,iPhone,05/21/2025
EV011754,ISS-1047,R36300,Deals of the Wek,96,PC,2024-11-18
EV014812,ISS-1059,R62154,Home and Living,0m 49s,iPhone,2025-02-12
EV018079,ISS-1072,R82139,DEALS OF THE WEEK,153,iPad,05/12/2025
EV003201,ISS-1013,R65455,Home  & Living,1m 33s,web,2024-03-26T07:27:00
EV002150,ISS1009,R34565,SPONSORED SPOTLIGHT,32,mobile app,2024-02-28T06:50:00
EV010071,ISS-1040,R37004,Deals of the Wek,0,mobile,2024-10-01T09:08:00
EV005222,ISS-1021,R18323,Deals of the Week,3.4 min,iPhone,05/20/2024
EV018071,ISS-1072,R85690,DEALS OF THE WEEK,0m 29s,Tablet,2025-05-12T04:18:00
EV017792,ISS-1071,R19461,Deals ,21,app,2025-05-06T02:06:00
EV019184,ISS-1077,R72373,Sponsored Spotlight,,tablet,"Jun 16, 2025"
EV016682,ISS-1066,R56439,new arrivals,NULL,Mobile,2025-04-01
EV015770,ISS-1063,R11869,Editors Picks,00:02:37,Desktop,"Mar 10, 2025"
EV012547,ISS-1050,R39030,Editor’s Picks,1.5 min,Mobile,2024-12-10
EV011047,ISS-1045,R15364, Deals of the Week,8,Tablet,"Nov 05, 2024"
EV007741,ISS-1031,R75557,Editor’s Picks,0.7 min,mobile,07/31/2024
EV015110,ISS-1061,R24496, Deals of the Week,00:02:09,app,2025-02-25
EV017181,ISS-1068,R30547,sponsored spotlight,30,mobile,2025-04-16T01:48:00
EV002317,ISS-1009,R72615,editor's picks,86,tablet,2024-02-28T15:14:00
EV004821,ISS-1020,R63529,DEALS OF THE WEEK,0,Android,2024-05-13T08:51:00
EV005524,ISS-1022,R36710,Sponsored,9,iOS App,"May 29, 2024"
EV015009,ISS-1060,R81079,Sponsored,25,MOBILE,2025-02-19
EV009527,ISS-1038,R40571,Editors Picks,140,iPad,2024-09-16T18:37:00
EV016130,ISS-1064,R53241,sponsored spotlight,9,PC,2025-03-17T12:03:00
EV017240,ISS-1068,R32357,Tech & Gadgets,59,desktop,04/15/2025
EV017011,ISS-1067,R82784,Deals of the Wek,64,Tablet,2025-04-09T11:32:00
EV012147,ISS-1049,R30257,Tech&Gadgets,93,PC,12/04/2024
EV014767,ISS-1059,R56869,new arrivals,56,Web,02/12/2025
EV015751,ISS-1063,R61508,new_arrivals,2.2 min,web,2025-03-12
EV004366,ISS-1017,R58621,Tech&Gadgets,13,mobile,"Apr 22, 2024"
EV015786,ISS-1063,R54804,deals of the week,0m 26s,desktop,2025-03-11T09:22:00
EV014169,ISS-1057,R21816,Deals ,00:03:09,mobile,2025-01-29
EV003774,ISS-1015,R55859,tech & gadgets,1.0 min,Desktop,2024-04-10T11:04:00
EV008166,ISS1033,R13100,New Arrivals,15,mobile,2024-08-13T04:38:00
EV013638,ISS-1055,R35485,Sponsored,12,mobile app,2025-01-13T11:56:00
EV009016,ISS-1036,R38336,Deals of the Week,143,Web,2024-09-02T01:51:00
EV004643,ISS-1019,R10196,Tech / Gadgets,88,phone,2024-05-06
EV016454,ISS-1065,R22184,home & living,86,mobile app,2025-03-26T17:42:00
EV008105,ISS-1033,R88417,DEALS OF THE WEEK,0m 25s,mobile,2024-08-12T21:20:00
EV003708,ISS-1015,R59426,Deals of the Week,00:00:53,PC,2024-04-08T06:33:00
EV010089,ISS-1040,R68878, Deals of the Week,118,iPad,2024-10-02
EV010522,ISS-1042,R89747,editor's picks,0m 19s,tablet,2024-10-17 00:11:00
EV015819,ISS-1063,R80968, Deals of the Week,00:03:10,Desktop,2025-03-12T10:11:00
EV016594,ISS-1066,R70013,Tech & Gadgets,58,iPad,2025-04-02T03:54:00
EV012523,ISS-1050,R87097,Deals of the Week,-,Tablet,"Dec 09, 2024"
EV009956,ISS-1040,R48039,Deals of the Week,63,desktop,2024-10-02T10:32:00
